"REC_NUM","FINALWT","AGYOWNK","LFSSTAT","PROV","CMA","AGE_12","SEX","MARSTAT","EDUC","IMMIG","EFAMTYPE","HRLYEARN","COWMAIN","PERMTEMP","FIRMSIZE","SURVYEAR","UNION","NOC_10","UTOTHRS","TENURE","HRSTOT"
20558,93,0,1,47,0,10,2,1,4,3,8,21.0797653958944,1,1,4,2019,2,4,28,156,1428
31879,79,0,1,47,0,7,2,1,2,3,2,20.4988269794721,2,1,2,2019,2,4,30,87,1530
10249,141,0,1,12,0,12,1,2,1,3,5,21.1667913238594,2,3,1,2018,2,8,40,3,2040
22938,114,0,1,12,0,5,1,6,2,3,1,18.6730205278592,1,1,2,2019,1,7,35,58,1785
23594,263,0,1,35,0,2,1,6,4,3,7,16.3143735588009,2,1,1,2017,2,8,50,38,2550
94740,702,0,1,59,9,7,2,6,2,2,18,17.6356304985337,2,1,2,2019,2,2,40,126,2040
90021,140,0,1,10,0,2,2,6,3,3,4,11.9638739431207,2,1,4,2017,2,7,20,11,1020
99426,194,0,1,24,0,2,1,6,3,3,4,26.4584891548242,1,1,3,2018,2,10,40,2,2040
97412,89,0,1,46,6,6,1,1,2,3,2,15.2267486548809,2,1,1,2017,2,7,33,10,1683
22535,169,1,1,47,0,4,2,1,5,3,3,41.71,1,1,4,2021,1,4,37.5,63,1912.5
62514,613,0,1,35,5,1,2,6,1,3,14,14.8167539267016,2,1,4,2018,2,7,20,4,1020
50486,873,0,1,35,0,8,2,2,2,3,2,14.1391237509608,2,1,1,2017,2,7,40,240,2040
38711,112,0,1,59,0,7,1,2,4,3,5,32.4381077038145,2,1,4,2018,2,8,40,17,2040
95874,269,2,2,35,0,7,1,1,6,3,3,53.5604472140762,2,1,2,2019,2,2,42,203,2100
93639,202,0,1,59,9,4,2,2,2,3,2,9.15463724756919,2,1,1,2018,2,5,40,155,2040
36798,168,0,1,13,0,8,2,1,2,3,8,21.197809377402,2,1,4,2017,2,7,37.5,6,1912.5
45482,56,4,1,11,0,10,1,1,3,3,4,17.63,2,1,3,2021,2,7,80,89,4080
30182,238,0,1,24,0,2,1,2,4,3,2,21.9,1,1,4,2021,1,5,70,3,3570
100009,111,3,1,10,0,8,1,1,6,3,6,69.8267228739003,2,1,4,2019,2,3,40,240,2040
95912,174,0,1,13,0,10,2,2,2,3,2,15.9068436798803,2,1,3,2018,2,2,37.5,35,1912.5
78883,1393,0,1,24,2,5,1,1,4,2,2,28.983174835406,1,1,4,2020,1,8,38.8,99,1978.8
59980,181,2,1,13,0,6,2,1,4,3,3,20,2,1,2,2021,2,2,40,9,2040
41864,148,2,1,47,0,4,2,5,4,3,14,29.2647727272727,2,1,4,2019,1,7,37.5,149,1912.5
78450,571,2,1,48,7,8,1,1,4,3,3,41.3079938508839,2,1,4,2017,2,3,40,68,2040
83980,360,0,1,59,0,1,1,6,1,3,6,15.5267008046818,2,1,1,2020,2,8,15,5,765
70825,322,0,1,24,0,8,2,2,2,3,8,14.8167539267016,2,1,4,2018,2,7,37.5,78,1912.5
26340,91,0,1,59,0,9,1,1,2,3,5,32.7923920994879,2,1,2,2020,2,1,48,240,2448
62949,119,1,1,48,0,4,1,2,4,3,3,46.7678708685626,2,1,2,2017,2,8,40,99,2040
88883,144,4,1,46,6,9,1,1,5,3,4,31.1217008797654,2,1,3,2019,2,2,50,183,2550
60417,193,0,2,13,0,9,2,4,2,3,1,20.9150269023828,2,1,2,2017,2,7,40,11,1880
13912,718,0,1,59,0,4,1,4,4,3,1,41.3297463489623,2,1,3,2017,2,8,30,48,1530
66071,112,0,1,24,0,10,2,2,4,3,2,19.75,2,1,4,2021,2,4,33,154,1683
9570,145,0,1,24,0,1,2,6,3,3,3,24.8427212874909,1,3,4,2020,1,4,37.5,2,1912.5
14631,547,0,1,35,3,1,2,6,1,3,3,13.8672175249808,2,2,1,2017,2,6,37.5,1,1912.5
30803,135,1,1,47,0,5,2,2,5,3,3,40.7037397157816,1,1,4,2018,2,2,40,47,2040
19304,856,0,1,24,2,5,2,2,3,3,2,18.4136730205279,2,1,2,2019,1,5,26,74,1326
36766,802,2,1,59,9,7,2,1,4,1,9,29.2543988269795,2,1,4,2019,2,2,37.5,108,1912.5
61116,527,0,1,59,9,3,1,1,4,3,5,51.28,2,1,3,2021,2,3,37.5,64,1912.5
86397,125,0,1,47,0,3,1,1,4,3,5,15.8750934928945,1,1,4,2018,2,5,40,10,2040
43620,88,2,1,47,0,4,2,1,2,3,3,12.1709050112191,2,1,4,2018,2,7,40,7,2040
91655,123,3,1,47,0,7,1,1,6,1,3,42.7357516828721,2,1,2,2018,2,5,40,94,2040
12092,1121,2,1,35,0,6,2,4,5,3,14,67.4303519061584,2,1,4,2019,2,4,35,170,1785
17638,1008,1,2,35,4,3,2,1,5,3,3,18.9971952131638,1,1,4,2018,1,5,37.5,67,750
87733,74,0,1,46,0,1,1,6,1,3,18,11.8004861630516,2,2,1,2018,2,9,36,3,1836
79750,1015,3,1,24,2,7,1,2,5,3,3,99.5261521580103,2,1,4,2020,2,3,40,98,2040
54999,106,2,1,24,0,7,1,2,4,3,6,30.22,2,1,1,2021,1,8,35,39,1785
68779,240,0,1,13,0,3,2,2,2,2,2,12.100475493782,1,1,3,2020,1,7,36.2,21,1846.2
28798,535,4,1,24,1,8,2,2,4,3,4,17.0392670157068,2,2,1,2018,2,3,38,100,1938
83344,122,1,1,46,6,6,1,1,6,1,3,15.0194952450622,2,1,3,2020,1,7,8,41,408
43757,305,0,1,48,7,2,2,2,2,3,2,17.8557059253841,2,1,2,2020,2,2,38,24,1938
94411,79,0,1,46,6,2,1,6,2,3,18,12.5076863950807,2,1,4,2017,2,7,25,2,1275
17522,206,0,1,24,0,8,2,1,4,3,8,33.1236283833211,1,1,4,2020,1,2,37.5,240,1912.5
1657,1296,0,1,24,2,1,2,6,4,3,3,13.25,2,2,1,2021,2,7,66,2,3366
100174,577,0,1,48,8,3,2,6,3,3,1,30.0184473481937,1,4,4,2017,1,4,37,33,1887
24634,160,0,1,47,0,4,2,1,4,3,2,42.05,1,1,4,2021,2,2,37.5,103,1912.5
